name,doi,Abstract,keywords,URL,key,Algorithm used,Accuracy,base network/provided network,github,application,Dataset,Notes,favourite,Category
"N. Colnerič and J. Demšar, ""Emotion Recognition on Twitter: Comparative Study and Training a Unison Model,"" in IEEE Transactions on Affective Computing, vol. 11, no. 3, pp. 433-446, 1 July-Sept. 2020.",doi: 10.1109/TAFFC.2018.2807817,"Abstract: Despite recent successes of deep learning in many fields of natural language processing, previous studies of emotion recognition on Twitter mainly focused on the use of lexicons and simple classifiers on bag-of-words models. The central question of our study is whether we can improve their performance using deep learning. To this end, we exploit hashtags to create three large emotion-labeled data sets corresponding to different classifications of emotions. We then compare the performance of several word- and character-based recurrent and convolutional neural networks with the performance on bag-of-words and latent semantic indexing models. We also investigate the transferability of the final hidden state representations between different classifications of emotions, and whether it is possible to build a unison model for predicting all of them using a shared representation. We show that recurrent neural networks, especially character-based ones, can improve over bag-of-words and latent semantic indexing models. Although the transfer capabilities of these models are poor, the newly proposed training heuristic produces a unison model with performance comparable to that of the three single models.","keywords: {convolutional neural nets;emotion recognition;indexing;learning (artificial intelligence);natural language processing;pattern classification;recurrent neural nets;social networking (online);Twitter;unison model;deep learning;natural language processing;emotion recognition;simple classifiers;bag-of-words models;central question;emotion-labeled data sets;latent semantic indexing models;final hidden state representations;recurrent neural networks;character-based ones;single models;convolutional neural networks;Twitter;Tagging;Mood;Machine learning;Training;Emotion recognition;Convolutional neural networks;Emotion recognition;text mining;twitter;recurrent neural networks;convolutional neural networks},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8295234&isnumber=9167328,124,RNN/CNN,70 f1,RNN/CNN,https://github.com/nikicc/twitter-emotion-recognition,Emotion Recognition,,https://github.com/nikicc/twitter-emotion-recognition,1,
"H. Liu et al., ""Deep Learning-Based Picture-Wise Just Noticeable Distortion Prediction Model for Image Compression,"" in IEEE Transactions on Image Processing, vol. 29, pp. 641-656, 2020.",doi: 10.1109/TIP.2019.2933743,"Abstract: Picture Wise Just Noticeable Difference (PW-JND), which accounts for the minimum difference of a picture that human visual system can perceive, can be widely used in perception-oriented image and video processing. However, the conventional Just Noticeable Difference (JND) models calculate the JND threshold for each pixel or sub-band separately, which may not reflect the total masking effect of a picture accurately. In this paper, we propose a deep learning based PW-JND prediction model for image compression. Firstly, we formulate the task of predicting PW-JND as a multi-class classification problem, and propose a framework to transform the multi-class classification problem to a binary classification problem solved by just one binary classifier. Secondly, we construct a deep learning based binary classifier named perceptually lossy/lossless predictor which can predict whether an image is perceptually lossy to another or not. Finally, we propose a sliding window based search strategy to predict PW-JND based on the prediction results of the perceptually lossy/lossless predictor. Experimental results show that the mean accuracy of the perceptually lossy/lossless predictor reaches 92%, and the absolute prediction error of the proposed PW-JND model is 0.79 dB on average, which show the superiority of the proposed PW-JND model to the conventional JND models.","keywords: {data compression;error statistics;image coding;learning (artificial intelligence);neural nets;deep learning-based picture-wise just noticeable distortion prediction;image compression;video processing;Just Noticeable Difference models;total masking effect;multiclass classification problem transformation;binary classification problem;perceptually lossy-lossless predictor;sliding window search strategy;absolute prediction error;Image coding;Predictive models;Streaming media;Adaptation models;Bit rate;Distortion;Visualization;Just noticeable distortion;convolutional neural network;visual perception;image quality assessment},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8796396&isnumber=8835130,125,CNN,0.92,PW-JND,,Distortion Prediction,,MCL-JCI,1,
"Z. Yuan et al., ""STICKER: An Energy-Efficient Multi-Sparsity Compatible Accelerator for Convolutional Neural Networks in 65-nm CMOS,"" in IEEE Journal of Solid-State Circuits, vol. 55, no. 2, pp. 465-477, Feb. 2020.",doi: 10.1109/JSSC.2019.2946771,"Abstract: STICKER is an energy-efficient convolutional neural network (NN) processor. It mainly improves energy efficiency by making full use of sparsity. The network sparsity can potentially lower storage and computation requirements. However, the sparsity distribution of both activations and weights ranges from 2% to 99% in different layers or models. Therefore, good support for the sparsity distribution is the key to improve the energy efficiency. Three new features are proposed in this article to support wide sparsity distribution efficiently. First, multi-sparsity control and data flow are implemented for finer sparsity granularity support. It can automatically switch the processor among nine sparsity modes for higher energy efficiency. Second, a multi-mode hierarchical data memory which can be reconfigured for networks with different sparsity modes is designed for higher storage efficiency. Third, a multi-sparsity-compatible set-associative convolution processing element (PE) array is designed to efficiently carry out convolution operations under different sparsity modes, especially when both activations and weights are sparse. STICKER was implemented in a 65-nm CMOS technology. With its wide-range sparsity-supported capacity, the peak energy efficiency reaches 62.1 TOPS/W when sparsity ratios of both activations and weights are 5%. In a completely pruned Alexnet model, STICKER achieves 2.82 TOPS/W energy efficiency 1.8× higher than that of the state-of-the-art processors.","keywords: {CMOS integrated circuits;convolutional neural nets;energy conservation;microprocessor chips;power aware computing;multisparsity control;multimode hierarchical data memory;multisparsity-compatible set-associative convolution processing element array;STICKER;energy-efficient multisparsity compatible accelerator;energy-efficient convolutional neural network processor;data flow;65-nm CMOS technology;size 65 nm;Convolution;Arrays;Silicon;Convolutional neural networks;Indexes;Quantization (signal);Accelerator;neural network (NN);sparsity},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8890710&isnumber=8972639,126,CNN,,,,hardware improvement,,,,
"M. Simon, E. Rodner, T. Darrell and J. Denzler, ""The Whole Is More Than Its Parts? From Explicit to Implicit Pose Normalization,"" in IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 42, no. 3, pp. 749-763, 1 March 2020.",doi: 10.1109/TPAMI.2018.2885764,"Abstract: Fine-grained classification describes the automated recognition of visually similar object categories like birds species. Previous works were usually based on explicit pose normalization, i.e., the detection and description of object parts. However, recent models based on a final global average or bilinear pooling have achieved a comparable accuracy without this concept. In this paper, we analyze the advantages of these approaches over generic CNNs and explicit pose normalization approaches. We also show how they can achieve an implicit normalization of the object pose. A novel visualization technique called activation flow is introduced to investigate limitations in pose handling in traditional CNNs like AlexNet and VGG. Afterward, we present and compare the explicit pose normalization approach neural activation constellations and a generalized framework for the final global average and bilinear pooling called α-pooling. We observe that the latter often achieves a higher accuracy improving common CNN models by up to 22.9 percent, but lacks the interpretability of the explicit approaches. We present a visualization approach for understanding and analyzing predictions of the model to address this issue. Furthermore, we show that our approaches for fine-grained recognition are beneficial for other fields like action recognition.","keywords: {convolutional neural nets;data visualisation;image classification;neural net architecture;object recognition;pose estimation;image classification;automated object recognition;visualization technique;α-pooling;action recognition;visually similar object recognition;CNN models;activation flow;pose handling;feature extraction;generic convolutional neural network;CNN architectures;explicit pose normalization;implicit pose normalization;Task analysis;Detectors;Analytical models;Visualization;Encoding;Proposals;Birds;Fine-grained classification;object recognition;convolutional neural networks},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8580407&isnumber=8984605,127,CNN,,"AlexNet, VGG-VD, ResNet-50",,Pose estimation,,"Oxford Flowers 102, Oxford-IIIT, Pets Stanford 40 actions",2,
"T. -E. Kam, H. Zhang, Z. Jiao and D. Shen, ""Deep Learning of Static and Dynamic Brain Functional Networks for Early MCI Detection,"" in IEEE Transactions on Medical Imaging, vol. 39, no. 2, pp. 478-487, Feb. 2020.",doi: 10.1109/TMI.2019.2928790,"Abstract: While convolutional neural network (CNN) has been demonstrating powerful ability to learn hierarchical spatial features from medical images, it is still difficult to apply it directly to resting-state functional MRI (rs-fMRI) and the derived brain functional networks (BFNs). We propose a novel CNN framework to simultaneously learn embedded features from BFNs for brain disease diagnosis. Since BFNs can be built by considering both static and dynamic functional connectivity (FC), we first decompose rs-fMRI into multiple static BFNs with modified independent component analysis. Then, the voxel-wise variability in dynamic FC is used to quantify BFN dynamics. A set of paired 3D images representing static/dynamic BFNs can be fed into 3D CNNs, from which we can hierarchically and simultaneously learn static/dynamic BFN features. As a result, the dynamic BFN features can complement static BFN features and, at the meantime, different BFNs can help each other toward a joint and better classification. We validate our method with a publicly accessible, large cohort of rs-fMRI dataset in early-stage mild cognitive impairment (eMCI) diagnosis, which is one of the most challenging problems to the clinicians. By comparing with a conventional method, our method shows significant diagnostic performance improvement by almost 10%. This result demonstrates the effectiveness of deep learning in preclinical Alzheimer's disease diagnosis, based on the complex and high-dimensional voxel-wise spatiotemporal patterns of the resting-state brain functional connectomics. The framework provides a new but intuitive way to fully exploit deeply embedded diagnostic features from rs-fMRI for a better-individualized diagnosis of various neurological diseases.","keywords: {biomedical MRI;brain;cognition;convolutional neural nets;diseases;feature extraction;image classification;independent component analysis;learning (artificial intelligence);medical image processing;neurophysiology;modified independent component analysis;voxel-wise variability;BFN dynamics;paired 3D images;3D CNNs;static BFN features;rs-fMRI dataset;early-stage mild cognitive impairment diagnosis;deep learning;preclinical Alzheimer's disease diagnosis;high-dimensional voxel-wise;resting-state brain functional connectomics;diagnostic features;dynamic brain functional networks;early MCI detection;convolutional neural network;hierarchical spatial features;medical images;resting-state functional MRI;CNN framework;brain disease diagnosis;static functional connectivity;dynamic functional connectivity;multiple static BFNs;Convolutional neural networks;Neurophysiology;Brain;Deep learning;Feature extraction;Functional magnetic resonance imaging;Image classification;Diagnosis;convolutional neural networks;brain network;independent component analysis;mild cognitive impairment;deep learning;resting state;functional MRI},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8765628&isnumber=8979213,128,CNN,0.7607,MB-CNN,,MCI Detection,,,,1
"A. Bulat and G. Tzimiropoulos, ""Hierarchical Binary CNNs for Landmark Localization with Limited Resources,"" in IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 42, no. 2, pp. 343-356, 1 Feb. 2020.",doi: 10.1109/TPAMI.2018.2866051,"Abstract: Our goal is to design architectures that retain the groundbreaking performance of Convolutional Neural Networks (CNNs) for landmark localization and at the same time are lightweight, compact and suitable for applications with limited computational resources. To this end, we make the following contributions: (a) we are the first to study the effect of neural network binarization on localization tasks, namely human pose estimation and face alignment. We exhaustively evaluate various design choices, identify performance bottlenecks, and more importantly propose multiple orthogonal ways to boost performance. (b) Based on our analysis, we propose a novel hierarchical, parallel and multi-scale residual architecture that yields large performance improvement over the standard bottleneck block while having the same number of parameters, thus bridging the gap between the original network and its binarized counterpart. (c) We perform a large number of ablation studies that shed light on the properties and the performance of the proposed block. (d) We present results for experiments on the most challenging datasets for human pose estimation and face alignment, reporting in many cases state-of-the-art performance. (e) We further provide additional results for the problem of facial part segmentation. Code can be downloaded from https://www.adrianbulat.com/binary-cnn-landmarks.","keywords: {neural nets;pose estimation;prediction theory;real-time systems;landmark localization;groundbreaking performance;convolutional neural networks;neural network binarization;localization tasks;face alignment;performance bottlenecks;multiscale residual architecture;performance improvement;standard bottleneck block;binarized counterpart;ablation studies;hierarchical binary CNN;https://www.adrianbulat.com/binary-cnn-landmarks;human pose estimation;facial part segmentation;Pose estimation;Computer architecture;Face;Task analysis;Quantization (signal);Neural networks;Training;Binary convolutional neural networks;residual learning;landmark localization;human pose estimation;face alignment},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8444745&isnumber=8952810,129,binary CNN,0.9791,binary CNN,https://www.adrianbulat.com/binary-cnn-landmarks,"Landmark Localization, pose estimation",,"MPII, AFLW, AFLW-PIFA, AFLW2000-3D",2,
"A. M. Elbir and K. V. Mishra, ""Joint Antenna Selection and Hybrid Beamformer Design Using Unquantized and Quantized Deep Learning Networks,"" in IEEE Transactions on Wireless Communications, vol. 19, no. 3, pp. 1677-1688, March 2020.",doi: 10.1109/TWC.2019.2956146,"Abstract: In millimeter-wave communications, multiple-input-multiple-output (MIMO) systems use large antenna arrays to achieve high gain and spectral efficiency. These massive MIMO systems employ hybrid beamformers to reduce power consumption associated with fully digital beamforming in large arrays. Further savings in cost and power are possible through the use of subarrays. Unlike prior works that resort to large latency methods such as optimization and greedy search for subarray selection, we propose a deep-learning-based approach in order to overcome the complexity issue without causing significant performance loss. We formulate antenna selection and hybrid beamformer design as a classification/prediction problem for convolutional neural networks (CNNs). For antenna selection, the CNN accepts the channel matrix as input and outputs a subarray with optimal spectral efficiency. The resultant subarray channel matrix is then again fed to a CNN to obtain analog and baseband beamformers. We train the CNNs with several noisy channel matrices that have different channel statistics in order to achieve a robust performance at the network output. Numerical experiments show that our CNN framework provides an order better spectral efficiency and is 10 times faster than the conventional techniques. Further investigations with quantized-CNNs show that the proposed network, saved in no more than 5 bits, is also suited for digital mobile devices.","keywords: {array signal processing;convolutional neural nets;learning (artificial intelligence);millimetre wave communication;MIMO communication;power consumption;telecommunication computing;quantized-CNN;antenna arrays;multiple-input-multiple-output systems;millimeter-wave communications;unquantized quantized deep learning networks;joint antenna selection;network output;channel statistics;noisy channel matrices;baseband beamformers;resultant subarray channel matrix;optimal spectral efficiency;CNN;convolutional neural networks;hybrid beamformer design;performance loss;subarray selection;fully digital beamforming;power consumption;hybrid beamformers;massive MIMO systems;Antenna arrays;Phase shifters;Radio frequency;MIMO communication;Receiving antennas;Optimization;Antenna selection;CNN;deep learning;hybrid beamforming;massive MIMO},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8924932&isnumber=9031617,130,CNN,,,,,,MIMO,,
"J. Wang, L. Yu, K. R. Lai and X. Zhang, ""Tree-Structured Regional CNN-LSTM Model for Dimensional Sentiment Analysis,"" in IEEE/ACM Transactions on Audio, Speech, and Language Processing, vol. 28, pp. 581-591, 2020.",doi: 10.1109/TASLP.2019.2959251,"Abstract: Dimensional sentiment analysis aims to recognize continuous numerical values in multiple dimensions such as the valence-arousal (VA) space. Compared to the categorical approach that focuses on sentiment classification such as binary classification (i.e., positive and negative), the dimensional approach can provide a more fine-grained sentiment analysis. This article proposes a tree-structured regional CNN-LSTM model consisting of two parts: regional CNN and LSTM to predict the VA ratings of texts. Unlike a conventional CNN which considers a whole text as input, the proposed regional CNN uses a part of the text as a region, dividing an input text into several regions such that the useful affective information in each region can be extracted and weighted according to their contribution to the VA prediction. Such regional information is sequentially integrated across regions using LSTM for VA prediction. By combining the regional CNN and LSTM, both local (regional) information within sentences and long-distance dependencies across sentences can be considered in the prediction process. To further improve performance, a region division strategy is proposed to discover task-relevant phrases and clauses to incorporate structured information into VA prediction. Experimental results on different corpora show that the proposed method outperforms lexicon-, regression-, conventional NN and other structured NN methods proposed in previous studies.","keywords: {convolutional neural nets;pattern classification;sentiment analysis;region division strategy;local information;regional information;VA prediction;conventional CNN;fine-grained sentiment analysis;sentiment classification;valence-arousal space;dimensional sentiment analysis;tree-structured regional CNN-LSTM model;Sentiment analysis;Feature extraction;Artificial neural networks;Predictive models;Analytical models;Kernel;Dimensional sentiment analysis;valence-arousal prediction;regional CNN-LSTM model;structured parsing},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8930925&isnumber=8938144,131,R-CNN-LSTM,,"wAM and wGM, AVR and MVR, CNN, RNN, LSTM, AttentionLSTM, Tree-Structured LSTM, CNN-LSTM, Two-LayerAttentionLSTM, Regional CNN-LSTM",,Sentiment Analysis,,"Stanford SentimentTreebank, EmoBank, The Valence and Arousal Facebook Posts, Chinese Valence-Arousal Texts",2,
"D. Karimi and S. E. Salcudean, ""Reducing the Hausdorff Distance in Medical Image Segmentation With Convolutional Neural Networks,"" in IEEE Transactions on Medical Imaging, vol. 39, no. 2, pp. 499-513, Feb. 2020.",doi: 10.1109/TMI.2019.2930068,"Abstract: The Hausdorff Distance (HD) is widely used in evaluating medical image segmentation methods. However, the existing segmentation methods do not attempt to reduce HD directly. In this paper, we present novel loss functions for training convolutional neural network (CNN)-based segmentation methods with the goal of reducing HD directly. We propose three methods to estimate HD from the segmentation probability map produced by a CNN. One method makes use of the distance transform of the segmentation boundary. Another method is based on applying morphological erosion on the difference between the true and estimated segmentation maps. The third method works by applying circular/spherical convolution kernels of different radii on the segmentation probability maps. Based on these three methods for estimating HD, we suggest three loss functions that can be used for training to reduce HD. We use these loss functions to train CNNs for segmentation of the prostate, liver, and pancreas in ultrasound, magnetic resonance, and computed tomography images and compare the results with commonly-used loss functions. Our results show that the proposed loss functions can lead to approximately 18-45% reduction in HD without degrading other segmentation performance criteria such as the Dice similarity coefficient. The proposed loss functions can be used for training medical image segmentation methods in order to reduce the large segmentation errors.","keywords: {biomedical MRI;biomedical ultrasonics;computerised tomography;convolutional neural nets;image segmentation;learning (artificial intelligence);liver;medical image processing;probability;convolutional neural network training;segmentation probability map;segmentation boundary;segmentation performance criteria;medical image segmentation;Hausdorff distance reduction;HD reduction;segmentation map estimation;CNN training;distance transform;morphological erosion;circular/spherical convolution kernels;ultrasound images;magnetic resonance images;computed tomography images;Image segmentation;Biomedical imaging;Training;Two dimensional displays;Sensitivity;Convolutional neural networks;Transforms;Hausdorff distance;loss functions;medical image segmentation;convolutional neural networks},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8767031&isnumber=8979213,132,CNN,,3D CNN,,,,,,1
"Y. Hong, J. J. F. Martinez and A. C. Fajardo, ""Day-Ahead Solar Irradiation Forecasting Utilizing Gramian Angular Field and Convolutional Long Short-Term Memory,"" in IEEE Access, vol. 8, pp. 18741-18753, 2020.",doi: 10.1109/ACCESS.2020.2967900,"Abstract: The operations of power systems are becoming more challenging on account of the high penetration of renewable power generation, including photovoltaic systems. One method for improving the power system operation involves making accurate forecasts of day-ahead solar irradiation, enabling operators to minimize uncertainty in managing the balance between generation and load. To overcome the limitations of Long Short-term Memory (LSTM) in a one-dimensional forecasting problem, this work proposes a novel method in forecasting solar irradiation by encoding time-series data into images using the Gramian Angular Field and the Convolutional LSTM (ConvLSTM) network. The pre-processed data become a five-dimensional input tensor that is perfectly suitable for ConvLSTM. The ConvLSTM network uses convolution operations in its input-to-state transition and state-to-state transition. The network thus enables time-series forecasting by a feature-rich approach, which ultimately provides competitive forecasting performance despite the use of a small dataset. The proposed method was evaluated in day-ahead solar irradiation forecasting using a univariate dataset of Global Horizontal Irradiation (GHI) data from Fuhai in Taiwan. The proposed method was resampled using 5×2-fold cross-validation, and assessed using the Wilcoxon signed-rank test to determine the statistical significance of the result. It outperformed benchmark methods such as Autoregressive Integrated Moving Average (ARIMA), Convolutional Neural Network cascaded with Long Short-term Memory (CNN-LSTM), and LSTM cascaded with a fully-connected (FC) network.","keywords: {convolutional neural nets;load forecasting;photovoltaic power systems;power engineering computing;recurrent neural nets;tensors;time series;power system operation;time-series data;convolutional LSTM network;five-dimensional input tensor;ConvLSTM network;convolution operations;time-series forecasting;Global Horizontal Irradiation data;convolutional neural network;day-ahead solar Irradiation forecasting;Gramian angular field;photovoltaic systems;renewable power generation;convolutional long short-term memory;Forecasting;Radiation effects;Logic gates;Training;Power generation;Graphics processing units;Weather forecasting;Day-ahead forecasting;ConvLSTM;gramian-angular field;global horizontal irradiation},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8963606&isnumber=8948470,133,CNN/LSTM,,,,,,,,
"P. Pisantanaroj et al., ""Automated Firearm Classification From Bullet Markings Using Deep Learning,"" in IEEE Access, vol. 8, pp. 78236-78251, 2020.",doi: 10.1109/ACCESS.2020.2989673,"Abstract: Firearm violence is one of the leading causes of death in many countries around the world, including Thailand. This work proposes a fast and accurate automated method to classify firearm brands from bullet markings. Specifically, a panoramic image of a bullet collected from a crime scene was captured using a developed mobile phone application and custom-built portable hardware. The top three state-of-the-art CNNs pretrained on ImageNet-DenseNet121, ResNet50, and Xception-were further trained on the same training set, which was composed of 718 bullets collected from eight different firearm brands-Beretta, Browning, CZ, Glock, Norinco, Ruger, Sig Sauer, and Smith & Wesson-using a five-fold cross validation technique. DenseNet121 provided the highest AUC of 0.99 for CZ classification (the most common registered firearm brand in Thailand) and the highest average AUC for the eight firearm brands (0.9780 ± 0.0130 SD), which was significantly higher than those of ResNet50 and Xception. In addition, there were no interaction effects between the CNN model and firearm brand on AUC. DenseNet121, which had the highest AUC, was evaluated on the test set (72 bullets), and the results showed that the Beretta and CZ classifications had the lowest accuracy (91.18%), followed by the Browning and Norinco classifications (96.88%), whereas the Glock, Ruger, Sig Sauer, and Smith & Wesson classifications had the highest accuracy (98.41%). These results suggest that the developed mobile phone application based on a deep learning algorithm and the custom-built portable hardware have promising potential for use at crime scenes to classify firearms from bullet markings. By narrowing down the list of suspects, this convenient approach can potentially accelerate bullet identification processes for many forensic science examiners.","keywords: {convolutional neural nets;image classification;learning (artificial intelligence);military computing;mobile computing;projectiles;weapons;automated firearm classification;bullet markings;firearm violence;Thailand;mobile phone application;ImageNet;ResNet50;Xception;five-fold cross validation technique;CZ classification;Norinco classifications;Smith & Wesson classifications;deep learning;bullet identification processes;DenseNet121;firearm brand;panoramic image;Browning classifications;Beretta classifications;Sig Sauer classifications;Ruger classifications;Glock classifications;Forensics;Machine learning;Surface topography;Three-dimensional displays;Correlation;Feature extraction;Forensic science;automated firearm classification;9 mm bullet marking;densely connected convolutional network},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9076037&isnumber=8948470,134,CNN,0.99 auc,CNN,,,,,2,
"F. Paredes-Vallés, K. Y. W. Scheper and G. C. H. E. de Croon, ""Unsupervised Learning of a Hierarchical Spiking Neural Network for Optical Flow Estimation: From Events to Global Motion Perception,"" in IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 42, no. 8, pp. 2051-2064, 1 Aug. 2020.",doi: 10.1109/TPAMI.2019.2903179,"Abstract: The combination of spiking neural networks and event-based vision sensors holds the potential of highly efficient and high-bandwidth optical flow estimation. This paper presents the first hierarchical spiking architecture in which motion (direction and speed) selectivity emerges in an unsupervised fashion from the raw stimuli generated with an event-based camera. A novel adaptive neuron model and stable spike-timing-dependent plasticity formulation are at the core of this neural network governing its spike-based processing and learning, respectively. After convergence, the neural architecture exhibits the main properties of biological visual motion systems, namely feature extraction and local and global motion perception. Convolutional layers with input synapses characterized by single and multiple transmission delays are employed for feature and local motion perception, respectively; while global motion selectivity emerges in a final fully-connected layer. The proposed solution is validated using synthetic and real event sequences. Along with this paper, we provide the cuSNN library, a framework that enables GPU-accelerated simulations of large-scale spiking neural networks. Source code and samples are available at https://github.com/tudelft/cuSNN.","keywords: {cameras;computer vision;convolutional neural nets;feature extraction;graphics processing units;image sensors;image sequences;unsupervised learning;visual perception;unsupervised learning;hierarchical spiking neural network;global motion perception;event-based vision sensors;high-bandwidth optical flow estimation;hierarchical spiking architecture;unsupervised fashion;event-based camera;spike-timing-dependent plasticity formulation;spike-based processing;neural architecture;biological visual motion systems;local motion perception;global motion selectivity;synthetic event sequences;real event sequences;adaptive neuron model;cuSNN library;Neurons;Visualization;Biomedical optical imaging;Optical sensors;Biological system modeling;Biological information theory;Vision sensors;Event-based vision;feature extraction;motion detection;neural nets;neuromorphic computing;unsupervised learning},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8660483&isnumber=9130977,135,SNN,,cuSNN,https://github.com/tudelft/cuSNN,,,????,,
"Y. Sun, B. Xue, M. Zhang and G. G. Yen, ""Completely Automated CNN Architecture Design Based on Blocks,"" in IEEE Transactions on Neural Networks and Learning Systems, vol. 31, no. 4, pp. 1242-1254, April 2020.",doi: 10.1109/TNNLS.2019.2919608,"Abstract: The performance of convolutional neural networks (CNNs) highly relies on their architectures. In order to design a CNN with promising performance, extensive expertise in both CNNs and the investigated problem domain is required, which is not necessarily available to every interested user. To address this problem, we propose to automatically evolve CNN architectures by using a genetic algorithm (GA) based on ResNet and DenseNet blocks. The proposed algorithm is completely automatic in designing CNN architectures. In particular, neither preprocessing before it starts nor postprocessing in terms of CNNs is needed. Furthermore, the proposed algorithm does not require users with domain knowledge on CNNs, the investigated problem, or even GAs. The proposed algorithm is evaluated on the CIFAR10 and CIFAR100 benchmark data sets against 18 state-of-the-art peer competitors. Experimental results show that the proposed algorithm outperforms the state-of-the-art CNNs hand-crafted and the CNNs designed by automatic peer competitors in terms of the classification performance and achieves a competitive classification accuracy against semiautomatic peer competitors. In addition, the proposed algorithm consumes much less computational resource than most peer competitors in finding the best CNN architectures.","keywords: {convolutional neural nets;genetic algorithms;pattern classification;CIFAR10 benchmark data set;CIFAR100 benchmark data set;DenseNet block;ResNet block;classification performance;automatic peer competitors;genetic algorithm;CNN architectures;convolutional neural networks;automated CNN architecture design;Computer architecture;Genetic algorithms;Evolutionary computation;Encoding;Optimization;Sociology;Statistics;Automatic architecture design;convolutional neural networks (CNNs);evolutionary deep learning;genetic algorithms (GAs);neural networks},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8742788&isnumber=9056859,136,R-CNN,88.71 F1,SWCVAE,,Detection of Industrial Robots,,Endoder_decoder,,
"S. Muhammad Usman, S. Khalid and M. H. Aslam, ""Epileptic Seizures Prediction Using Deep Learning Techniques,"" in IEEE Access, vol. 8, pp. 39998-40007, 2020.",doi: 10.1109/ACCESS.2020.2976866,"Abstract: Epilepsy is a very common neurological disease that has affected more than 65 million people worldwide. In more than 30 % of the cases, people affected by this disease cannot be cured with medicines or surgery. However, predicting a seizure before it actually occurs can help in its prevention; through therapeutic intervention. Studies have observed that abnormal activity inside the brain begins a few minutes before the start of a seizure, which is known as preictal state. Many researchers have tried to find a way for predicting this preictal state of a seizure but an effective prediction in terms of high sensitivity and specificity still remains a challenge. The current study, proposes a seizure prediction system that employs deep learning methods. This method includes preprocessing of scalp EEG signals, automated features extraction; using convolution neural network and classification with the support of vector machines. The proposed method has been applied on 24 subjects of scalp EEG dataset of CHBMIT resulting in successfully achieving an average sensitivity and specificity of 92.7% and 90.8% respectively.","keywords: {convolutional neural nets;diseases;electroencephalography;feature extraction;learning (artificial intelligence);medical disorders;medical signal processing;neurophysiology;seizure prediction system;deep learning methods;epileptic seizures prediction;deep learning techniques;neurological disease;therapeutic intervention;preictal state prediction;scalp EEG signals;automated features extraction;convolution neural network;Electroencephalography;Feature extraction;Scalp;Machine learning;Prediction methods;Support vector machines;Electrodes;Epilepsy prediction;seizures;preictal state;scalp EEG;intracranial EEG;deep learning;CNN},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9016244&isnumber=8948470,137,CNN,"0.927 presicion, 0.908 recall",CNN,,Epileptic Seizures Prediction,,,,4
